公司,职位,城市,行业,职业技能,工作年限,薪资,融资情况
洋钱罐,数据分析师,北京,"移动互联网,金融","['商业', '数据分析', 'SPSS', 'SQL']",1-3年,15k-25k,不需要融资
飞常准,数据分析（南京）,南京,移动互联网,"['数据挖掘', '数据分析']",1-3年,10k-15k,不需要融资
安硕信息（amarsoft）,数据分析师,深圳,金融,[],1-3年,8k-16k,上市公司
达达-京东到家,数据分析师（业务策略）,北京,消费生活,"['市场分析', '数据分析', '行业分析', '营销策略']",5-10年,15k-30k,D轮及以上
柏视医疗,数据分析师,广州,"医疗丨健康,数据服务","['数据分析', 'SPSS']",1-3年,8k-15k,A轮
找靓机,数据分析师,深圳,"移动互联网,电商",['数据分析'],3-5年,12k-18k,B轮
伴鱼口语,数据分析师(J10380),北京,移动互联网,"['数据分析', '用户增长']",3-5年,15k-30k,C轮
水滴公司,数据分析师,北京,"移动互联网,医疗丨健康","['数据分析', 'MySQL', 'Hive']",3-5年,25k-35k,C轮
酷划在线,数据分析师,北京,移动互联网,['数据分析'],不限,20k-40k,不需要融资
信用飞/首付游,数据分析师（有互金经验）,上海,移动互联网,"['数据分析', '数据运营', '数据库']",3-5年,10k-20k,B轮
舟恩信息,数据分析,上海,移动互联网,"['SQL', '数据库', '数据运营', 'SPSS']",3-5年,15k-20k,不需要融资
RELX 悦刻,数据分析师（供应链方向） (MJ000151),深圳,"电商,硬件","['数据分析', 'SQL', '数据运营', 'SPSS']",不限,15k-20k,B轮
米络星科技,数据分析师 (MJ000075),杭州,移动互联网,"['数据分析', '数据处理', '数据仓库']",3-5年,15k-25k,不需要融资
途家民宿,数据分析师,北京,"移动互联网,消费生活","['BI', '数据分析', '数据运营']",3-5年,22k-28k,D轮及以上
动动,数据分析师,北京,"移动互联网,医疗丨健康","['商业', 'SQL', '数据分析']",3-5年,15k-25k,B轮
悦然心动,数据分析师,武汉,"社交,游戏","['可视化', '数据库', '数据分析']",不限,10k-20k,上市公司
省钱快报,数据分析师,北京,"移动互联网,电商",['ETL'],不限,20k-40k,C轮
一亩田,数据分析师,北京,"移动互联网,电商",[],3-5年,15k-25k,C轮
美利金融,数据分析师（反欺诈策略）,深圳,金融,"['风控', '信贷风险管理', '风险管理', '风险分析']",3-5年,15k-20k,B轮
喜茶,数据分析师,深圳,"移动互联网,消费生活",['SQL'],3-5年,10k-18k,B轮
BT学院,数据分析岗（运营）,深圳,教育,[],1-3年,8k-16k,不需要融资
阿卡索外教网,数据分析,深圳,"教育,移动互联网","['BI', 'SQL']",1-3年,15k-20k,C轮
信用管家,数据分析,杭州,"移动互联网,金融","['数据分析', 'SQL', 'SPSS']",3-5年,12k-17k,不需要融资
乐房生活,数据分析师,上海,移动互联网,"['数据分析', '数据库', '数据运营', '可视化']",3-5年,15k-20k,D轮及以上
沪江,数据分析师,上海,教育,"['数据分析', 'MySQL']",3-5年,15k-30k,D轮及以上
木瓜移动,数据分析,北京,移动互联网,"['商业', '数据分析', 'SQL', '可视化']",3-5年,15k-25k,B轮
懒人科技,数据分析师,深圳,移动互联网,"['BI', 'SQL', '数据库', '数据分析']",3-5年,15k-25k,不需要融资
凡普金科,数据分析师,北京,金融,['数据分析'],3-5年,15k-25k,不需要融资
